Rep Code,Route,Customer Code,Customer Name,SalesX,Sale,Lgsale,GP,GPX,Loggp,GppeX,Gpperc,Month
KAM,Collection,IGU-01,IGUGU SERVICES (PTY) LTD,-,2.718281828459045,1.0,1.0,-,0.0,-,0.0,June
KAM,Collection,IND-08,INDIAN DELIGHTS CATERERS,-,2.718281828459045,1.0,1.0,-,0.0,-,0.0,June
ANA,PMB,IND-07,INDIGO FIELDS,5619,5619.000000000002,8.633908991112198,942.54,942.54,6.848578358739903,0.16774159103043246,0.16774159103043246,June
LUC,Upper Highway,INH-01,INHEP ELECTRONICS HOLDINGS (PTY) LTD,14465,14465.000000000005,9.579487217410236,1981.9500000000003,1981.95,7.591836487528336,0.1370169374351884,0.1370169374351884,June
ANA,Collection,INK-02,INKOSANA BERG LODGE,-,2.718281828459045,1.0,1.0,-,0.0,-,0.0,June
ANA,Drakensberg,ITU-01,ITUMELENG GUEST HOUSE (NOI COFFEE SHOP),0,2.718281828459045,1.0,1.0,0,0.0,-,0.0,June
SHIR,Upper Highway,LUP-01,JAZZ SPIRIT 1390 CC - THE BLACK RABBIT,40470,40469.99999999998,10.60831623786991,3742.8399999999997,3742.84,8.227599960530714,0.0924843093649617,0.0924843093649617,June
SHIR,DBN CBD,JOE-01,JOE KOOLS,32857,32857.00000000002,10.399920091014481,5664.829999999998,5664.83,8.642032164185707,0.17240861916790942,0.17240861916790942,June
SHIR,DBN CBD,JOH-04,JOHN DORY  WILSONS WHARF,-,2.718281828459045,1.0,1.0,-,0.0,-,0.0,June
SHIR,South Coast,JOH-08,JOHN DORY GALLERIA,-,2.718281828459045,1.0,1.0,-,0.0,-,0.0,June
SHIR,Upper Highway,GIL-02,JOMI TRADING T/A GILLITS SERVICE STATION,3383,3383.0000000000027,8.12651816878071,725.2700000000002,725.27,6.586543999318974,0.21438663907774164,0.21438663907774164,June
SHIR,Upper Highway,JUK-01,JUKEBOX PIZZA (PTY)LTD T/A JUKEBOX PIZZA,2388,2388.000000000001,7.778211474512493,577.7199999999998,577.72,6.359089322232966,0.24192629815745395,0.24192629815745392,June
RAJEN,Umhlanga,44747,JULIOS CABANA Andras,-,2.718281828459045,1.0,1.0,-,0.0,-,0.0,June
RAJEN,Local,44743,Julios Glenwood,1871,1870.9999999999993,7.534228326274089,342.68000000000006,342.68,5.836797067095843,0.1831533939070016,0.1831533939070016,June
SHIR,Umhlanga,44748,JULIO'S ON THE RIDGE,49870,49869.99999999999,10.817174898540168,7554.619999999994,7554.62,8.929914575625846,0.15148626428714657,0.15148626428714657,June
SHIR,Umhlanga,44745,JULIO'S UMHLANGA,2999,2999.0000000000023,8.00603417874901,363.99999999999994,364,5.8971538676367405,0.12137379126375458,0.12137379126375458,June
LUC,Upper Highway,KAR-02,KARMA FREE,3930,3930.0000000000005,8.276394704863307,864.5999999999999,864.6,6.762266972233531,0.22,0.22,June
KAM,Local,KEN-03,KENSINGTON SQUARE (PTY)LTD,-,2.718281828459045,1.0,1.0,-,0.0,-,0.0,June
KAM,Local,KEY-01,KEYS ON DAVENPORT,-,2.718281828459045,1.0,1.0,-,0.0,-,0.0,June
KAM,Local,FLO-01,KEYS ON FLORIDA,-,2.718281828459045,1.0,1.0,-,0.0,-,0.0,June
KAM,Collection,KIT-01,KITCHEN (PRISCA),5226,5225.999999999998,8.561401446080557,99.49999999999997,99.5,4.600157644164547,0.019039418293149635,0.01903941829314964,June
SHIR,Upper Highway,KLO-02,KLOOF COUNTRY CLUB,1329,1329.0000000000005,7.192182058713246,266.92999999999995,266.93,5.586986451742444,0.2008502633559067,0.2008502633559067,June
SHIR,Upper Highway,KNO-01,KNOLE PARK NPC,0,2.718281828459045,1.0,1.0,0,0.0,-,0.0,June
SHIR,DBN CBD,KUD-01,KUD'TA,11913,11912.999999999989,9.38538551979936,1746.5499999999993,1746.55,7.4653976925230365,0.1466087467472509,0.14660874674725088,June
RAJEN,Local,KZN-03,KZNSA ARTS CAFE,4894,4894.000000000004,8.495765244002618,651.8400000000003,651.84,6.4797991330384415,0.1331916632611361,0.1331916632611361,June
KAM,Umhlanga,ANG-02,LA FAMIGLIA T/A ANGELO'S,-,2.718281828459045,1.0,1.0,-,0.0,-,0.0,June
SHIR,Balito,LA-01,LA FIAMMA,-,2.718281828459045,1.0,1.0,-,0.0,-,0.0,June
ANA,PMB,LAL-03,LA LAMPARA RESTAURANT,19791,19790.999999999996,9.89298256789098,3455.5799999999986,3455.58,8.14774559476107,0.1746036077004699,0.1746036077004699,June
ANA,PMB,LAK-01,LAKESIDE CAFE,7660,7660.0,8.943767262734637,1191.2000000000005,1191.2,7.0827164813698,0.15550913838120106,0.15550913838120106,June
RAJEN,Upper Highway,LAM-03,LAMDALE TRADING CC,1830,1829.9999999999995,7.512071245835466,355.4999999999999,355.5,5.873525249243295,0.1942622950819672,0.19426229508196718,June
SHIR,South Coast,BLU-05,LANGDALE INTERNATIONAL T/A BLUE MARLIN,2632,2632.0000000000005,7.875499292445208,417.72999999999985,417.73,6.034835290805795,0.15871200607902736,0.15871200607902736,June
KAM,PMB,GTM-01,LATCHUP INVESTMENTS CC T/A GT MOTORS,-,2.718281828459045,1.0,1.0,-,0.0,-,0.0,June
SHIR,Balito,LEA-01,LEAN ADDICTION,-,2.718281828459045,1.0,1.0,-,0.0,-,0.0,June
JUS,Collection,SPA-03,LIFESTYLE SUPERSPAR,-,2.718281828459045,1.0,1.0,-,0.0,-,0.0,June
SHIR,South Coast,LIN-03,LINCOLN STEAK HOUSE,4036,4035.999999999999,8.3030093814735,687.3500000000003,687.35,6.5328436239174295,0.17030475718533203,0.17030475718533203,June
KIM,PMB,LIT-01,LITTLE MOZAMBIQUE RESTAURANT,-,2.718281828459045,1.0,1.0,-,0.0,-,0.0,June
SHIR,Upper Highway,LOC-01,LOCK STOCK AND BARREL,3806,3805.9999999999986,8.244334047856094,561.7499999999999,561.75,6.331056911065438,0.14759590120861796,0.14759590120861796,June
SHIR,Umhlanga,LOR-01,LORD PRAWN,7680,7679.999999999995,8.946374826141717,1557.9,1557.9,7.351094039518383,0.2028515625,0.2028515625,June
KAM,Local,FIR-02,LPS (PTY) LTD T/A THE FIREHOUSE,3528,3527.9999999999977,8.168486417126681,505.91000000000014,505.91,6.226358787854854,0.14339852607709752,0.1433985260770975,June
KAM,Umhlanga,MNA-01,M&A SANDS,-,2.718281828459045,1.0,1.0,-,0.0,-,0.0,June
KAM,Collection,MAC-06,MACROBIOTIC HEALTH SHOP,-,2.718281828459045,1.0,1.0,-,0.0,-,0.0,June
SHIR,Local,MAD-02,MADAM AND SIR (PTY) LTD,31933,31932.999999999985,10.371395236823,5510.349999999999,5510.35,8.614383421000738,0.1725597344439921,0.17255973444399209,June
SHIR,DBN CBD,MAG-01,MAGIC PAN THREE CATERERS (PTY) LTD.,89282,89282.00000000004,11.399555178797922,16809.120000000006,16809.12,9.729676875240573,0.18826997603100287,0.18826997603100287,June
KAM,Umhlanga,MAMA02,MAMA LUCIANA,-,2.718281828459045,1.0,1.0,-,0.0,-,0.0,June
RAJEN,Local,MND-03,MANDATE - McCORD HOSPITAL,3332,3331.999999999999,8.111328003286733,511.19999999999993,511.2,6.236760903063325,0.15342136854741897,0.153421368547419,June
LUC,Umhlanga,MND-07,MANDATE - NORTHWOOD SCHOOL,-,2.718281828459045,1.0,1.0,-,0.0,-,0.0,June
RAJEN,Upper Highway,MND-01,MANDATE - ST MARY'S HOSPITAL,17556,17555.999999999993,9.773151050808124,3515.8799999999974,3515.88,8.165045128529803,0.20026657552973343,0.20026657552973343,June
LUC,Balito,MND-10,MANDATE MM CATERING -NURTURE BALLITO (MC,-,2.718281828459045,1.0,1.0,-,0.0,-,0.0,June
RAJEN,Umhlanga,MND-09,MANDATE MM CATERING -SPAR NATAL,8605,8605.000000000002,9.06009870864564,1326.8399999999995,1326.84,7.19055545434231,0.1541940732132481,0.1541940732132481,June
RAJEN,Umhlanga,MND-05,MANDATE MM- SA SUGAR -KWASHUKELA CANTEEN,20630,20629.99999999998,9.934501606065297,3506.1699999999996,3506.17,8.162279552611421,0.16995492001938925,0.16995492001938925,June
KAM,Collection,MND-11,MANDATE MM SA SUGAR KWASHUKELA -CLOSED,-,2.718281828459045,1.0,1.0,-,0.0,-,0.0,June
RAJEN,Umhlanga,MND-12,MANDATE MM -SA SUGAR TRAINING CENTRE,4005,4004.9999999999986,8.29529885950246,746.3100000000001,746.31,6.615141063484794,0.1863445692883895,0.1863445692883895,June
SHIR,Balito,MAN-01,MANGWANANI NORTH COAST (PTY)LTD,12263,12263.000000000011,9.414341877762027,1855.9900000000007,1855.99,7.526173525400597,0.15134877273097938,0.15134877273097938,June
RAJEN,Local,44639,MARCOS ITALIAN,12464,12463.999999999993,9.430599768110529,2135.1600000000003,2135.16,7.666296864306745,0.17130616174582797,0.17130616174582797,June
SHIR,Collection,44641,MARGRET MORNINGS (MICHELLE BAKER),-,2.718281828459045,1.0,1.0,-,0.0,-,0.0,June
SHIR,Local,44643,MARILYN MONROE (PTY) LTD T/A CAFE MONROE,0,2.718281828459045,1.0,1.0,0,0.0,-,0.0,June
